order_id,customer_id,order_date,status,total_amount,discount_amount,channel
ORD-0000090,CUST-000158,2024-10-07,Completed,95.32,0.0,web
ORD-0000091,CUST-000399,2024-07-18,Completed,72.47,0.0,web
ORD-0000092,CUST-000316,2025-09-22,Completed,32.2,0.0,web
ORD-0000093,CUST-000090,2024-06-07,Completed,42.24,5.9,web
ORD-0000094,CUST-000027,2025-07-31,Completed,48.08,7.73,mobile
ORD-0000095,CUST-000885,2026-03-21,Completed,48.72,0.0,web
ORD-0000096,CUST-000087,2025-07-21,Completed,99.34,0.0,in-store
ORD-0000097,CUST-000249,2025-01-29,Completed,74.81,0.0,web
ORD-0000098,CUST-000143,2025-09-23,Completed,235.54,24.42,web
ORD-0000099,CUST-000283,2025-04-05,Completed,261.17,0.0,web
ORD-0000100,CUST-000258,2025-06-23,Completed,47.64,0.0,web
ORD-0000101,CUST-000632,2026-03-22,Completed,5.0,0.36,marketplace
ORD-0000102,CUST-000341,2025-01-27,Completed,120.24,0.0,marketplace
ORD-0000103,CUST-000451,2026-04-07,Completed,29.01,0.0,marketplace
ORD-0000104,CUST-000998,2026-02-19,Completed,23.54,0.0,mobile
ORD-0000105,CUST-000712,2024-11-02,Pending,32.5,3.67,in-store
ORD-0000106,CUST-000299,2024-07-17,Completed,31.27,0.0,in-store
ORD-0000107,CUST-000801,2024-08-10,Completed,72.95,9.13,web
ORD-0000108,CUST-000117,2024-05-30,Completed,12.84,0.0,in-store
ORD-0000109,CUST-000185,2024-08-05,Completed,18.87,0.0,in-store
ORD-0000110,CUST-000473,2025-10-28,Completed,58.82,0.0,mobile
ORD-0000111,CUST-000852,2024-07-19,Completed,73.58,0.0,mobile
ORD-0000112,CUST-000419,2024-12-18,Completed,74.68,0.0,web
ORD-0000113,CUST-000259,2025-12-30,Completed,23.82,0.0,mobile
ORD-0000114,CUST-000076,2024-06-03,Completed,20.44,0.0,web
ORD-0000115,CUST-000548,2025-12-18,Refunded,29.81,0.0,mobile
ORD-0000116,CUST-000557,2024-12-04,Completed,54.16,13.2,mobile
ORD-0000117,CUST-000609,2024-08-26,Completed,146.7,0.0,mobile
ORD-0000118,CUST-000674,2025-11-04,Completed,8.69,0.0,mobile
ORD-0000119,CUST-000577,2025-09-10,Completed,37.47,0.0,web
ORD-0000120,CUST-000771,2026-01-24,Completed,15.39,0.0,web
ORD-0000121,CUST-000101,2025-11-18,Completed,11.92,1.81,web
ORD-0000122,CUST-000590,2025-12-14,Completed,96.89,12.09,mobile
ORD-0000123,CUST-000708,2024-12-04,Completed,69.11,0.0,web
ORD-0000124,CUST-000108,2024-10-18,Completed,64.04,14.99,mobile
ORD-0000125,CUST-000748,2025-11-24,Completed,93.39,10.49,web
ORD-0000126,CUST-000495,2025-12-15,Completed,30.45,0.0,mobile
ORD-0000127,CUST-000464,2026-05-04,Completed,31.62,0.0,mobile
ORD-0000128,CUST-000118,2025-02-22,Completed,256.87,30.47,mobile
ORD-0000129,CUST-000953,2025-01-14,Completed,36.7,0.0,web
ORD-0000130,CUST-000164,2025-12-04,Completed,80.49,0.0,web
ORD-0000131,CUST-000817,2024-12-27,Completed,44.93,0.0,mobile
ORD-0000132,CUST-000443,2026-03-12,Completed,10.19,0.0,marketplace
ORD-0000133,CUST-000461,2026-01-09,Completed,8.71,0.0,mobile
ORD-0000134,CUST-000211,2025-03-09,Completed,28.13,5.37,web
ORD-0000135,CUST-000819,2025-11-24,Completed,104.05,0.0,web
ORD-0000136,CUST-000469,2025-11-26,Completed,83.98,15.46,in-store
ORD-0000137,CUST-000321,2024-08-12,Completed,92.88,0.0,web
ORD-0000138,CUST-000357,2026-02-16,Completed,20.29,0.0,web
ORD-0000139,CUST-000690,2025-05-17,Completed,162.83,0.0,mobile
ORD-0000140,CUST-000087,2025-12-23,Completed,20.66,0.0,web
ORD-0000141,CUST-000120,2024-12-19,Completed,53.0,10.0,web
ORD-0000142,CUST-000142,2026-02-10,Completed,44.33,0.0,web
ORD-0000143,CUST-000551,2025-01-31,Completed,38.9,0.0,in-store
ORD-0000144,CUST-000569,2024-05-23,Completed,130.43,14.06,mobile
ORD-0000145,CUST-000635,2026-02-19,Completed,25.43,3.1,web
ORD-0000146,CUST-000835,2024-08-04,Completed,15.19,0.0,mobile
ORD-0000147,CUST-000419,2024-12-18,Completed,45.42,0.0,mobile
ORD-0000148,CUST-000501,2026-03-30,Completed,32.46,5.29,web
ORD-0000149,CUST-000034,2026-03-31,Completed,666.41,104.97,web
ORD-0000150,CUST-000761,2025-07-20,Completed,76.8,0.0,web
ORD-0000151,CUST-000587,2025-09-13,Completed,32.22,6.61,web
ORD-0000152,CUST-000843,2025-03-27,Completed,19.2,0.0,web
ORD-0000153,CUST-000224,2024-12-08,Completed,9.93,0.0,mobile
ORD-0000154,CUST-000770,2024-12-22,Completed,19.68,4.43,web
ORD-0000155,CUST-000883,2025-10-21,Completed,49.01,0.0,in-store
ORD-0000156,CUST-000795,2025-11-25,Completed,140.03,0.0,mobile
ORD-0000157,CUST-000706,2025-12-10,Completed,109.66,0.0,mobile
ORD-0000158,CUST-000170,2025-12-09,Completed,53.69,0.0,mobile
ORD-0000159,CUST-000825,2024-08-04,Completed,34.52,4.15,web
ORD-0000160,CUST-000332,2025-05-09,Completed,55.43,0.0,web
ORD-0000161,CUST-000976,2024-07-06,Cancelled,29.52,0.0,mobile
ORD-0000162,CUST-000098,2025-06-27,Completed,176.74,35.35,web
ORD-0000163,CUST-000284,2025-03-21,Completed,38.42,0.0,marketplace
ORD-0000164,CUST-000256,2026-02-02,Completed,41.72,4.77,mobile
ORD-0000165,CUST-000403,2024-12-30,Completed,7.59,0.0,web
ORD-0000166,CUST-000425,2024-08-25,Completed,38.23,0.0,mobile
ORD-0000167,CUST-000788,2024-09-18,Completed,87.29,13.37,marketplace
ORD-0000168,CUST-000378,2025-11-29,Completed,19.03,0.0,web
ORD-0000169,CUST-000890,2025-08-31,Completed,24.52,0.0,mobile
ORD-0000170,CUST-000470,2024-08-10,Completed,84.28,0.0,marketplace
ORD-0000171,CUST-000815,2024-07-29,Completed,13.72,0.0,web
ORD-0000172,CUST-000217,2025-11-06,Completed,104.19,0.0,web
ORD-0000173,CUST-000561,2024-07-20,Completed,29.2,0.0,web
ORD-0000174,CUST-000352,2025-12-21,Completed,32.76,0.0,web
ORD-0000175,CUST-000642,2025-11-08,Completed,18.19,0.0,web
ORD-0000176,CUST-000879,2024-07-28,Cancelled,60.49,8.55,web
ORD-0000177,CUST-000706,2024-07-29,Refunded,319.86,0.0,web
ORD-0000178,CUST-000896,2026-05-01,Completed,83.53,0.0,mobile
ORD-0000179,CUST-000257,2025-01-17,Completed,22.39,4.1,web
ORD-0000180,CUST-000641,2025-01-13,Completed,110.89,0.0,web
ORD-0000181,CUST-000672,2025-12-18,Completed,34.7,2.4,web
ORD-0000182,CUST-000608,2026-03-28,Completed,134.23,24.97,mobile
ORD-0000183,CUST-000837,2026-04-30,Completed,85.23,18.93,web
ORD-0000184,CUST-000235,2025-11-25,Completed,5.0,0.0,web
ORD-0000185,CUST-000321,2025-01-18,Completed,20.02,0.0,web
ORD-0000186,CUST-000833,2024-07-29,Completed,95.16,0.0,in-store
ORD-0000187,CUST-000147,2025-12-04,Completed,50.47,8.21,web
ORD-0000188,CUST-000360,2025-07-06,Completed,19.71,0.0,web
ORD-0000189,CUST-000422,2025-03-04,Completed,26.93,0.0,web
ORD-0000190,CUST-000919,2026-02-20,Completed,9.73,1.95,web
ORD-0000191,CUST-000987,2024-08-19,Completed,41.65,0.0,web
ORD-0000192,CUST-000661,2025-05-08,Completed,262.05,42.11,mobile
ORD-0000193,CUST-000798,2024-05-23,Completed,85.11,0.0,mobile
ORD-0000194,CUST-000897,2025-04-15,Completed,257.84,0.0,web
ORD-0000195,CUST-000766,2024-07-05,Completed,90.55,0.0,mobile
ORD-0000196,CUST-000813,2024-08-27,Completed,101.7,0.0,web
ORD-0000197,CUST-000512,2024-08-25,Completed,216.86,0.0,marketplace
ORD-0000198,CUST-000013,2025-09-29,Pending,60.45,0.0,web
ORD-0000199,CUST-000882,2025-11-23,Completed,38.48,0.0,web
ORD-0000200,CUST-000177,2025-07-29,Pending,102.12,0.0,mobile
ORD-0000201,CUST-000018,2026-04-08,Completed,143.03,0.0,web
ORD-0000202,CUST-000945,2025-01-17,Completed,30.45,6.33,mobile
ORD-0000203,CUST-000514,2024-12-06,Completed,25.1,0.0,web
ORD-0000204,CUST-000656,2026-01-16,Completed,49.95,0.0,web
ORD-0000205,CUST-000318,2024-11-12,Cancelled,86.94,20.36,web
ORD-0000206,CUST-000335,2026-04-09,Completed,84.65,0.0,mobile
ORD-0000207,CUST-000698,2024-05-24,Completed,14.31,0.0,web
ORD-0000208,CUST-000977,2026-04-15,Completed,206.29,0.0,web
ORD-0000209,CUST-000445,2024-06-22,Completed,26.76,4.62,mobile
ORD-0000210,CUST-000674,2026-02-06,Completed,36.16,0.0,mobile
ORD-0000211,CUST-000719,2025-06-07,Completed,21.71,3.24,web
ORD-0000212,CUST-000843,2026-05-07,Completed,387.09,0.0,web
ORD-0000213,CUST-000800,2024-07-21,Completed,54.25,0.0,web
ORD-0000214,CUST-000922,2025-07-01,Completed,22.63,4.78,web
ORD-0000215,CUST-000730,2026-04-15,Completed,89.22,0.0,web
ORD-0000216,CUST-000524,2025-06-02,Completed,82.71,0.0,web
ORD-0000217,CUST-000377,2025-09-10,Refunded,38.47,7.87,mobile
ORD-0000218,CUST-000119,2025-11-04,Completed,87.57,13.29,marketplace
ORD-0000219,CUST-000251,2025-04-02,Refunded,23.1,2.84,web
ORD-0000220,CUST-000984,2025-09-08,Completed,30.13,0.0,marketplace
ORD-0000221,CUST-000759,2025-07-30,Completed,8.95,0.0,web
ORD-0000222,CUST-000938,2026-02-15,Completed,15.5,0.0,web
ORD-0000223,CUST-000382,2024-06-24,Completed,189.83,35.05,web
ORD-0000224,CUST-000529,2024-12-04,Pending,166.19,0.0,web
ORD-0000225,CUST-000477,2026-03-31,Completed,47.12,0.0,web
ORD-0000226,CUST-000089,2026-02-05,Completed,169.08,0.0,web
ORD-0000227,CUST-000578,2025-04-03,Completed,39.33,0.0,web
ORD-0000228,CUST-000378,2025-09-01,Completed,36.79,0.0,mobile
ORD-0000229,CUST-000201,2024-12-02,Completed,46.77,0.0,mobile
ORD-0000230,CUST-000155,2024-10-28,Completed,40.45,5.34,web
ORD-0000231,CUST-000860,2025-04-10,Completed,37.63,0.0,web
ORD-0000232,CUST-000778,2024-12-31,Completed,111.58,0.0,mobile
ORD-0000233,CUST-000107,2025-07-29,Completed,50.41,12.43,in-store
ORD-0000234,CUST-000996,2024-07-25,Completed,79.04,0.0,web
ORD-0000235,CUST-000944,2026-04-19,Completed,102.01,22.35,marketplace
ORD-0000236,CUST-000470,2026-05-01,Completed,60.98,0.0,web
ORD-0000237,CUST-000137,2025-11-05,Completed,20.57,0.0,web
ORD-0000238,CUST-000064,2025-06-15,Pending,15.15,0.0,web
ORD-0000239,CUST-000268,2024-12-15,Refunded,50.35,0.0,web
ORD-0000240,CUST-000852,2025-12-18,Completed,38.98,0.0,web
ORD-0000241,CUST-000077,2025-10-29,Completed,47.94,0.0,mobile
ORD-0000242,CUST-000112,2024-10-07,Completed,44.13,3.66,web
ORD-0000243,CUST-000549,2026-02-24,Completed,353.14,0.0,web
ORD-0000244,CUST-000475,2025-12-21,Completed,15.42,1.14,mobile
ORD-0000245,CUST-000847,2026-03-30,Completed,9.1,0.0,web
ORD-0000246,CUST-000878,2025-11-15,Completed,58.32,0.0,web
ORD-0000247,CUST-000365,2025-08-26,Completed,33.08,0.0,web
ORD-0000248,CUST-000840,2025-02-27,Completed,57.56,0.0,web
ORD-0000249,CUST-000464,2026-03-14,Completed,71.31,0.0,web
ORD-0000250,CUST-000105,2026-01-16,Completed,124.87,0.0,web
ORD-0000251,CUST-000851,2024-06-24,Completed,13.39,0.0,web
ORD-0000252,CUST-000411,2024-06-07,Completed,28.63,0.0,mobile
ORD-0000253,CUST-000597,2025-01-18,Refunded,62.99,0.0,web
ORD-0000254,CUST-000067,2025-12-17,Completed,82.8,14.84,web
ORD-0000255,CUST-000868,2026-05-02,Completed,258.46,0.0,web
ORD-0000256,CUST-000473,2024-09-25,Completed,96.02,22.55,mobile
ORD-0000257,CUST-000509,2025-08-08,Completed,42.72,7.97,web
ORD-0000258,CUST-000192,2025-01-23,Completed,21.93,3.05,mobile
ORD-0000259,CUST-000632,2026-04-15,Completed,28.46,3.1,web
ORD-0000260,CUST-000063,2025-12-28,Completed,27.82,3.52,mobile
ORD-0000261,CUST-000817,2025-12-27,Completed,75.5,0.0,mobile
ORD-0000262,CUST-000814,2025-04-15,Completed,54.9,6.94,web
ORD-0000263,CUST-000801,2025-02-23,Refunded,15.5,0.0,web
ORD-0000264,CUST-000398,2024-12-01,Completed,31.54,1.74,web
ORD-0000265,CUST-000831,2024-07-05,Completed,90.2,0.0,in-store
ORD-0000266,CUST-000543,2026-01-15,Completed,59.22,0.0,web
ORD-0000267,CUST-000164,2025-12-18,Completed,70.45,12.78,mobile
ORD-0000268,CUST-000940,2026-05-13,Completed,60.72,0.0,marketplace
ORD-0000269,CUST-000590,2026-05-10,Completed,164.21,0.0,web
ORD-0000270,CUST-000860,2025-07-03,Completed,53.99,0.0,web
ORD-0000271,CUST-000326,2025-12-01,Completed,32.82,0.0,marketplace
ORD-0000272,CUST-000029,2026-03-25,Completed,21.49,0.0,web
ORD-0000273,CUST-000146,2026-01-01,Completed,54.58,0.0,in-store
ORD-0000274,CUST-000903,2024-11-21,Completed,6.34,0.0,web
ORD-0000275,CUST-000039,2025-03-29,Completed,38.57,3.72,web
ORD-0000276,CUST-000001,2024-09-06,Completed,37.91,0.0,mobile
ORD-0000277,CUST-000349,2026-04-03,Refunded,15.01,0.0,mobile
ORD-0000278,CUST-000332,2025-08-19,Completed,21.27,1.69,web
ORD-0000279,CUST-000114,2024-11-14,Refunded,85.43,0.0,in-store
ORD-0000280,CUST-000383,2025-10-20,Completed,53.76,0.0,web
ORD-0000281,CUST-000345,2025-08-31,Completed,48.49,0.0,web
ORD-0000282,CUST-000972,2025-01-04,Completed,57.12,0.0,web
ORD-0000283,CUST-000325,2024-08-22,Completed,48.14,11.73,marketplace
ORD-0000284,CUST-000806,2025-10-20,Completed,120.82,0.0,mobile
ORD-0000285,CUST-000388,2025-05-31,Completed,49.34,0.0,web
ORD-0000286,CUST-000747,2025-12-02,Completed,13.92,2.65,marketplace
ORD-0000287,CUST-000790,2025-05-31,Completed,164.7,0.0,mobile
ORD-0000288,CUST-000944,2026-01-03,Completed,60.12,0.0,mobile
ORD-0000289,CUST-000107,2025-06-29,Completed,27.9,0.0,mobile
ORD-0000290,CUST-000244,2025-07-08,Completed,16.4,0.0,mobile
ORD-0000291,CUST-000987,2026-01-23,Completed,61.36,11.77,marketplace
ORD-0000292,CUST-000458,2025-02-13,Completed,40.7,3.74,web
ORD-0000293,CUST-000806,2024-09-10,Completed,157.48,7.91,mobile
ORD-0000294,CUST-000993,2024-06-09,Refunded,33.9,4.5,web
ORD-0000295,CUST-000385,2025-11-26,Refunded,22.88,3.34,mobile
ORD-0000296,CUST-000704,2025-09-02,Completed,91.53,12.84,web
ORD-0000297,CUST-000021,2025-11-07,Pending,93.71,0.0,web
ORD-0000298,CUST-000175,2024-11-09,Completed,51.16,0.0,web
ORD-0000299,CUST-000965,2024-09-12,Completed,76.79,0.0,web
ORD-0000300,CUST-000629,2024-05-26,Completed,43.37,0.0,web
ORD-0000301,CUST-000670,2024-12-30,Completed,53.9,12.29,web
ORD-0000302,CUST-000211,2025-08-04,Completed,113.52,0.0,web
ORD-0000303,CUST-000948,2025-02-02,Completed,73.72,0.0,web
ORD-0000304,CUST-000244,2025-03-17,Completed,39.04,5.02,web
ORD-0000305,CUST-000056,2026-02-18,Completed,131.88,0.0,web
ORD-0000306,CUST-000678,2024-12-29,Completed,6.74,0.0,web
ORD-0000307,CUST-000212,2025-05-25,Completed,230.82,25.01,mobile
ORD-0000308,CUST-000316,2025-12-07,Completed,11.42,0.0,marketplace
ORD-0000309,CUST-000272,2025-02-06,Completed,27.07,4.3,marketplace
ORD-0000310,CUST-000379,2025-09-03,Completed,43.26,2.55,web
ORD-0000311,CUST-000858,2026-01-12,Completed,39.76,2.48,mobile
ORD-0000312,CUST-000088,2026-03-30,Completed,100.0,0.0,web
ORD-0000313,CUST-000775,2024-09-22,Completed,19.18,0.0,mobile
ORD-0000314,CUST-000839,2026-03-08,Pending,55.07,0.0,mobile
ORD-0000315,CUST-000959,2025-05-07,Refunded,28.15,0.0,web
ORD-0000316,CUST-000081,2024-11-25,Refunded,56.61,0.0,web
ORD-0000317,CUST-000585,2025-04-06,Completed,42.44,0.0,mobile
ORD-0000318,CUST-000636,2026-04-25,Completed,48.15,11.55,marketplace
ORD-0000319,CUST-000172,2025-05-08,Completed,28.79,0.0,web
ORD-0000320,CUST-000434,2024-12-22,Completed,29.72,5.55,mobile
ORD-0000321,CUST-000152,2025-09-14,Completed,56.25,0.0,marketplace
ORD-0000322,CUST-000937,2024-11-18,Completed,95.1,0.0,web
ORD-0000323,CUST-000566,2024-07-23,Completed,27.7,0.0,web
ORD-0000324,CUST-000895,2024-09-05,Completed,22.31,4.24,mobile
ORD-0000325,CUST-000116,2024-09-04,Completed,73.02,0.0,web
ORD-0000326,CUST-000777,2024-09-27,Completed,43.55,0.0,web
ORD-0000327,CUST-000799,2024-09-15,Completed,86.87,9.31,web
ORD-0000328,CUST-000421,2025-09-21,Completed,21.66,3.92,web
ORD-0000329,CUST-000177,2024-10-22,Completed,10.77,0.85,mobile
ORD-0000330,CUST-000040,2024-12-28,Refunded,29.18,0.0,mobile
ORD-0000331,CUST-000051,2026-02-11,Refunded,24.21,0.0,marketplace
ORD-0000332,CUST-000021,2025-04-20,Completed,41.97,0.0,web
ORD-0000333,CUST-000864,2025-10-16,Completed,26.86,0.0,web
ORD-0000334,CUST-000890,2024-10-13,Completed,80.87,8.9,mobile
ORD-0000335,CUST-000329,2024-11-01,Completed,35.5,4.73,web
ORD-0000336,CUST-000217,2024-06-20,Completed,50.42,0.0,web
ORD-0000337,CUST-000529,2024-10-10,Completed,50.71,0.0,web
ORD-0000338,CUST-000163,2024-12-03,Completed,52.25,10.03,mobile
ORD-0000339,CUST-000537,2024-10-18,Completed,43.85,0.0,web
ORD-0000340,CUST-000853,2024-08-01,Completed,67.25,4.14,web
ORD-0000341,CUST-000370,2024-08-29,Completed,23.65,0.0,mobile
ORD-0000342,CUST-000518,2025-04-08,Refunded,136.94,0.0,mobile
ORD-0000343,CUST-000248,2024-11-06,Completed,36.99,0.0,web
ORD-0000344,CUST-000892,2025-01-07,Completed,15.65,0.0,web
ORD-0000345,CUST-000858,2025-05-15,Completed,51.96,0.0,mobile
ORD-0000346,CUST-000292,2025-11-02,Refunded,22.63,1.36,mobile
ORD-0000347,CUST-000220,2024-06-19,Completed,76.12,0.0,mobile
ORD-0000348,CUST-000276,2025-12-13,Completed,261.83,0.0,marketplace
ORD-0000349,CUST-000991,2025-09-09,Completed,23.83,0.0,marketplace
ORD-0000350,CUST-000663,2024-07-28,Completed,58.32,12.26,mobile
ORD-0000351,CUST-000966,2026-01-20,Pending,10.97,0.0,mobile
ORD-0000352,CUST-000434,2026-03-03,Refunded,64.27,0.0,web
ORD-0000353,CUST-000224,2024-07-09,Completed,22.01,0.0,mobile
ORD-0000354,CUST-000407,2024-12-02,Completed,27.12,0.0,in-store
ORD-0000355,CUST-000990,2025-12-15,Completed,18.52,0.0,mobile
ORD-0000356,CUST-000624,2025-11-23,Completed,80.3,15.01,web
ORD-0000357,CUST-000284,2024-10-25,Refunded,100.07,0.0,web
ORD-0000358,CUST-000729,2024-11-07,Completed,45.55,0.0,web
ORD-0000359,CUST-000530,2025-01-13,Refunded,22.39,0.0,mobile
ORD-0000360,CUST-000822,2025-04-30,Completed,159.43,0.0,web
ORD-0000361,CUST-000144,2025-08-31,Completed,24.52,0.0,in-store
ORD-0000362,CUST-000266,2025-01-11,Completed,7.93,0.0,mobile
ORD-0000363,CUST-000598,2025-04-09,Completed,64.5,0.0,web
ORD-0000364,CUST-000744,2025-11-23,Completed,18.47,0.0,mobile
ORD-0000365,CUST-000488,2024-06-16,Completed,98.58,0.0,web
ORD-0000366,CUST-000866,2024-11-23,Completed,32.95,5.98,web
ORD-0000367,CUST-000483,2025-11-10,Completed,72.46,7.37,mobile
ORD-0000368,CUST-000188,2026-02-09,Refunded,137.17,0.0,mobile
ORD-0000369,CUST-000228,2025-05-23,Completed,16.99,0.0,web
ORD-0000370,CUST-000808,2025-06-11,Completed,28.42,0.0,web
ORD-0000371,CUST-000475,2024-08-16,Completed,42.08,0.0,marketplace
ORD-0000372,CUST-000598,2025-03-26,Completed,152.94,0.0,web
ORD-0000373,CUST-000200,2025-06-11,Refunded,26.4,0.0,web
ORD-0000374,CUST-000306,2024-11-19,Refunded,27.78,0.0,web
ORD-0000375,CUST-000206,2024-11-30,Cancelled,65.53,0.0,marketplace
